CYLQ	01/19	47.402802	-72.787498	47.416401	-72.790001
CYLR	18/36	56.517799	-99.984703	56.509399	-99.985603
CYLS	10/28	44.485523	-79.567108	44.486549	-79.544159
CYLT	05T/23T	82.512802	-62.323299	82.522797	-62.237801
CYLW	16/34	49.966099	-119.378998	49.946201	-119.375999
CYMA	07/25	63.616402	-135.882996	63.616402	-135.852997
CYME	09/27	48.853901	-67.462402	48.858700	-67.440804
CYMG	05/23	49.080299	-85.865601	49.087502	-85.855598
CYMJ	03/21	50.326099	-105.557999	50.332802	-105.547997
CYMJ	11L/29R	50.337898	-105.574997	50.327000	-105.542999
CYMJ	11R/29L	50.331100	-105.573997	50.321701	-105.545998
CYML	14/32	47.601101	-70.231102	47.593899	-70.216698
CYMM	08/26	56.653198	-111.241997	56.653198	-111.207001
CYMO	06/24	51.288101	-80.608902	51.296101	-80.596901
CYMO	14/32	51.294998	-80.619698	51.289200	-80.607498
CYMT	04/22	49.764000	-74.534500	49.779701	-74.521500
CYMW	03/21	46.268002	-75.992798	46.280899	-75.987198
CYMX	06/24	45.670403	-74.021751	45.693691	-73.988564
CYMX	11/29	45.670799	-74.089996	45.666100	-74.043602
CYMY	10/28	50.718601	-93.391899	50.716702	-93.375000
CYNA	14/32	50.192799	-61.797798	50.186901	-61.780602
CYND	09/27	45.519600	-75.574898	45.523800	-75.552299
CYNH	05/23	56.033600	-121.987999	56.037498	-121.963997
CYNM	15/33	49.766499	-77.810097	49.756901	-77.794899
CYOA	02T/20T	64.690933	-110.622627	64.707062	-110.606583
CYOC	04/22	67.566101	-139.854996	67.572800	-139.824005
CYOD	04/22	54.396702	-110.285004	54.410599	-110.254997
CYOD	13L/31R	54.418900	-110.305000	54.391102	-110.269997
CYOD	13R/31L	54.416698	-110.310997	54.394402	-110.281998
CYOJ	13/31	58.627499	-117.170998	58.615299	-117.158997
CYOO	05/23	43.919701	-78.897499	43.926102	-78.892502
CYOO	12/30	43.924400	-78.903900	43.920799	-78.889397
CYOP	09/27	58.493500	-119.418999	58.489201	-119.397003
CYOS	18/36	44.595600	-80.838898	44.585300	-80.836403
CYOW	04/22	45.326675	-75.689018	45.334301	-75.683502
CYOW	07/25	45.313301	-75.670998	45.325199	-75.644798
CYOW	14/32	45.327034	-75.686241	45.310791	-75.654922
CYPA	08/26	53.217999	-105.684807	53.217999	-105.661446
CYPA	16/34	53.217716	-105.673729	53.210777	-105.671700
CYPC	02T/20T	69.356003	-124.064003	69.366203	-124.053001
CYPD	11/29	45.656502	-61.378101	45.656502	-61.358601
CYPE	04/22	56.223301	-117.458000	56.230000	-117.435997
CYPG	02/20	49.903900	-98.269203	49.911701	-98.264999
