AYGH	Guhu Airstrip	-5.69570	146.11160
AYGI	Garaina Airport	-7.87563	147.14127
AYGJ	Guasopa Airport	-9.22592	152.94435
AYGL	Gonaili Airport	-5.52772	151.57333
AYGM	Gema Airstrip	-6.80309	145.77587
AYGN	Gurney Airport	-10.31150	150.33400
AYGO	Gokto Airstrip	-4.91360	144.49000
AYGP	Gusap Airport	-6.05320	145.95905
AYGQ	Gawa Airstrip	-5.25900	142.23300
AYGR	Girua Airport	-8.80454	148.30901
AYGS	Gasuke Airport	-6.10280	141.73930
AYGT	Gasmata Island Airport	-6.27111	150.33099
AYGU	Anguganak Airport	-3.56050	142.21731
AYGV	Green River Airport	-3.90224	141.17052
AYGW	Guwasa Airport	-6.46584	145.08397
AYGX	Gora Airstrip	-9.00210	148.23640
AYGY	Guavi Airstrip	-6.87000	142.75370
AYGZ	Gubam Airstrip	-8.60877	141.91964
AYHA	Haia Airport	-6.70742	144.99740
AYHB	Habi Airport	-6.32000	142.48930
AYHE	Heiweni Airport	-7.42230	146.42760
AYHF	Hayfields Airport	-3.69838	143.05790
AYHG	Haelogo Airport	-9.13658	147.59843
AYHH	Honinabi Airport	-6.24570	142.17710
AYHJ	Hewa Airstrip	-5.19140	142.95950
AYHK	Hoskins Airport	-5.46385	150.40733
AYHL	Hesalibi Airstrip	-6.60000	142.35020
AYHN	Habina Airstrip	-6.66710	146.00000
AYHO	Haivaro Airport	-6.94060	143.05900
AYHQ	Hauna Airstrip	-4.29940	142.23050
AYHT	Hotmin Airstrip	-4.58450	141.57420
AYHU	Hawabango Airport	-7.39299	146.00349
AYHW	Haewenai Airstrip	-5.72190	141.32050
AYHX	Herowena Airstrip	-6.62290	145.19720
AYHY	Huya Airstrip	-6.27340	142.70610
AYIA	Nissan Island Airport	-4.49972	154.22600
AYIB	Ibil Airstrip	-4.68280	141.03160
AYID	Indagen Airport	-6.22663	147.24400
AYIF	Kilifas Airstrip	-3.21480	141.36420
AYIH	Ihu Airport	-7.89756	145.39600
AYII	Imane Airport	-6.75240	146.10720
AYIK	Itokama Airport	-9.20153	148.26426
AYIL	Bili Airstrip	-5.66722	151.09944
AYIM	Kungim Airport	-5.67100	141.03000
AYIN	Busilmin Airstrip	-4.91660	141.15480
AYIO	Imonda Airport	-3.32800	141.15730
AYIP	Iropena Airstrip	-5.03264	143.87112
AYIQ	Aropa Airport	-6.30573	155.72825
AYIR	Inaru Airstrip	-4.63160	142.89130
AYIS	Isan Airstrip	-5.97810	146.61975
AYIT	Iteri Airstrip	-4.24180	141.52340
AYIU	Ialibu Airport	-6.27820	143.99440
AYIW	Wasua Airport	-8.28360	142.86970
AYIX	Witu Airport	-4.68952	149.44011
AYIY	Miyanmin Airport	-4.90306	141.62083
AYJB	Jacquinot Bay Airport	-5.65250	151.50700
AYJE	Yomneri Airstrip	-5.23700	144.60070
AYJL	Junkaral Airstrip	-5.42317	145.01003
AYJO	Yongai Airport	-8.52890	147.46030
AYJS	Josephstaal Airport	-4.74708	145.00708
AYJW	Wauru Airstrip	-4.18203	141.19829
AYKA	Losuia Airport	-8.50582	151.08099
AYKB	Kabwum	-6.15547	147.19147
AYKC	Kandrian Airport	-6.19217	149.54783
AYKD	Kamina Airport	-7.64925	145.95694
AYKF	Kafa Airstrip	-6.58689	143.51500
AYKG	Kopiago Airport	-5.38830	142.49770
AYKH	Kamulai Airport	-8.15069	146.83400
AYKI	Kiunga Airport	-6.12571	141.28200
AYKJ	Kanainj Airport	-5.29030	144.70720
AYKK	Kikori Airport	-7.42438	144.25008
AYKL	Kafle Airstrip	-3.75000	142.59000
AYKM	Kerema Airport	-7.96361	145.77100
AYKN	Kubuna Airstrip	-8.69170	146.75660
AYKO	Kokoda Airport	-8.88468	147.73096
AYKQ	Kagi Airport	-9.13592	147.66944
AYKR	Kar Kar Airport	-4.55700	145.94040
AYKS	Kamusi Airport	-7.42035	143.12181
AYKT	Kaintiba Airport	-7.50025	146.03383
AYKU	Kuri Airport	-7.13508	143.27611
AYKV	Kavieng Airport	-2.57940	150.80800
AYKW	Kawito Airport	-7.97701	142.82358
AYKY	Londolovit Airport	-3.04361	152.62900
AYKZ	Kairiru Airstrip	-3.36874	143.55423
